offer,pr_uw_logit,pr_uw_logit_il,pr_uw_logit_in,pr_uw_logit_oh,pr_uw_logit_mi,pr_w_logit,pr_w_logit_il,pr_w_logit_in,pr_w_logit_oh,pr_w_logit_mi,pr_uw_probit,pr_w_probit,pr_uw_probit_il,pr_uw_probit_in,pr_uw_probit_oh,pr_uw_probit_mi,pr_w_probit_il,pr_w_probit_in,pr_w_probit_oh,pr_w_probit_mi
0,0.092,0.088,0.093,0.092,0.101,0.079,0.073,0.072,0.082,0.128,0.085,0.0689,0.081,0.086,0.085,0.094,0.063,0.061,0.072,0.122
50,0.12,0.115,0.121,0.121,0.131,0.109,0.101,0.099,0.113,0.173,0.117,0.102,0.111,0.118,0.116,0.128,0.094,0.091,0.106,0.171
100,0.156,0.149,0.157,0.156,0.169,0.149,0.139,0.136,0.154,0.23,0.156,0.146,0.149,0.158,0.155,0.17,0.135,0.132,0.151,0.231
150,0.199,0.191,0.2,0.2,0.215,0.2,0.187,0.184,0.207,0.299,0.203,0.201,0.194,0.205,0.202,0.219,0.187,0.183,0.206,0.301
200,0.252,0.242,0.253,0.252,0.27,0.263,0.247,0.244,0.272,0.379,0.257,0.266,0.248,0.26,0.257,0.276,0.251,0.251,0.273,0.38
250,0.312,0.301,0.313,0.312,0.333,0.338,0.32,0.315,0.348,0.466,0.319,0.341,0.308,0.321,0.318,0.339,0.324,0.318,0.349,0.463
300,0.379,0.367,0.381,0.38,0.403,0.422,0.402,0.397,0.432,0.555,0.385,0.423,0.374,0.388,0.384,0.407,0.404,0.398,0.431,0.55
350,0.452,0.439,0.453,0.453,0.476,0.511,0.5,0.485,0.521,0.641,0.455,0.508,0.444,0.458,0.454,0.478,0.489,0.483,0.516,0.632
400,0.527,0.514,0.528,0.528,0.551,0.599,0.578,0.573,0.609,0.718,0.527,0.593,0.515,0.529,0.526,0.549,0.574,0.568,0.601,0.71
450,0.6,0.587,0.601,0.601,0.623,0.681,0.662,0.658,0.69,0.785,0.597,0.674,0.586,0.6,0.597,0.619,0.656,0.651,0.681,0.779
500,0.669,0.658,0.671,0.67,0.691,0.753,0.737,0.733,0.761,0.839,0.665,0.75,0.655,0.668,0.664,0.685,0.731,0.726,0.753,0.837
550,0.732,0.722,0.733,0.733,0.751,0.813,0.8,0.797,0.82,0.882,0.728,0.811,0.718,0.73,0.727,0.746,0.797,0.793,0.816,0.885
