acres_tot,acres_add,mwta,cost_lb,cost_ub
40840,0,0,0,0
50840,10000,41,210539,2073808
60840,20000,75,794385,4569031
70840,30000,105,1697740,7434426
80840,40000,132,2825600,10634706
90840,50000,156,4320660,14144672
100840,60000,178,5990440,17945976
110840,70000,199,7874950,22025206
120840,80000,218,9960640,26372680
130840,90000,237,12236600,30981666
140840,100000,255,14693800,35847866
150840,110000,272,17325000,40969068
160840,120000,288,20124100,46344924
170840,130000,304,23086400,51976812
180840,140000,320,26207800,57867770
190840,150000,335,29485400,64022487
200840,160000,351,32916700,70447350
210840,170000,366,36500200,77150539
220840,180000,381,40234900,84142178
230840,190000,396,44120400,91434551
240840,200000,411,48157000,99042388
250840,210000,427,52345500,106983246
260840,220000,442,56687600,115277996
270840,230000,458,61185400,123951470
280840,240000,474,65841800,133033304
290840,250000,490,70660800,142559051
300840,260000,507,75646900,152571679
310840,270000,525,80806000,163123616
320840,280000,543,86145100,174279584
330840,290000,563,91673100,186120638
340840,300000,583,97400500,198750069
350840,310000,605,103340000,212302299
360840,320000,629,109509000,226956844
370840,330000,655,115928000,242961229
380840,340000,684,122623000,260670852
390840,350000,718,129632000,280623590
400840,360000,758,137003000,303693571
410840,370000,807,144815000,331453648
420840,380000,873,153193000,367221464
430840,390000,976,162386000,420364514
440840,400000,1257,173183000,554355635
