state,offer,acres,cost
illinois,0,18642.29462,0
illinois,64,25965.62707,1661800.132
illinois,80,28224.54756,2257963.805
illinois,84,28814.61108,2420427.33
illinois,90,29719.12338,2674721.104
illinois,127,35829.39107,4550332.666
illinois,161,42287.0462,6808214.439
illinois,167,43512.78384,7266634.901
illinois,180,46257.89569,8326421.224
illinois,254,64156.15337,16295662.96
illinois,322,83552.53249,26903915.46
illinois,334,87189.3798,29121252.85
illinois,360,95209.52312,34275428.32
illinois,381,101776.4842,38776840.5
illinois,483,133092.5031,64283678.98
illinois,501,138256.2774,69266394.99
illinois,540,148823.4391,80364657.11
indiana,0,10244.36565,0
indiana,64,14238.34453,911254.0498
indiana,80,15467.17212,1237373.77
indiana,84,15787.89989,1326183.591
indiana,90,16279.34343,1465140.909
indiana,127,19592.62267,2488263.079
indiana,161,23081.91118,3716187.699
indiana,167,23742.80179,3965047.899
indiana,180,25221.22285,4539820.113
indiana,254,34805.09373,8840493.808
indiana,322,45083.57402,14516910.84
indiana,334,46998.46922,15697488.72
indiana,360,51207.70819,18434774.95
indiana,381,54640.36487,20817979.02
indiana,483,70839.86814,34215656.31
indiana,501,73484.39305,36815680.92
indiana,540,78872.91496,42591374.08
michigan,0,4336.012227,0
michigan,64,6004.925749,384315.2479
michigan,80,6516.209577,521296.7661
michigan,84,6649.475728,558555.9612
michigan,90,6853.5326,616817.934
michigan,127,8224.729006,1044540.584
michigan,161,9660.287971,1555306.363
michigan,167,9931.212212,1658512.439
michigan,180,10536.16659,1896509.986
michigan,254,14420.67213,3662850.72
michigan,322,18516.57432,5962336.93
michigan,334,19271.77473,6436772.761
michigan,360,20923.24582,7532368.496
michigan,381,22261.37276,8481583.023
michigan,483,28473.47788,13752689.81
michigan,501,29471.76847,14765356
michigan,540,31492.43928,17005917.21
ohio,0,7617.127509,0
ohio,64,10587.27964,677585.8969
ohio,80,11501.15698,920092.558
ohio,84,11739.68612,986133.6337
ohio,90,12105.17681,1089465.913
ohio,127,14569.41622,1850315.86
ohio,161,17164.74449,2763523.864
ohio,167,17656.33383,2948607.75
ohio,180,18756.05403,3376089.726
ohio,254,25885.82118,6574998.58
ohio,322,33533.93598,10797927.38
ohio,334,34958.97277,11676296.91
ohio,360,38091.63268,13712987.77
ohio,381,40646.5345,15486329.64
ohio,483,52706.21322,25457100.99
ohio,501,54675.31397,27392332.3
ohio,540,58687.921,31691477.34
,,,
,,,
